,Feature,importance
74,74,0.024150513
186,186,0.01641395
128,128,0.014952166
56,56,0.013002302
563,563,0.010552013
376,376,0.010215122
234,234,0.009657218
346,346,0.009454433
202,202,0.008930182
400,400,0.0088143265
184,184,0.008620166
119,119,0.007847169
291,291,0.0075453315
125,125,0.007038686
155,155,0.0070267874
81,81,0.0068996875
606,606,0.006603371
292,292,0.00650501
65,65,0.006251719
607,607,0.0061391788
512,512,0.006030158
136,136,0.0055958875
509,509,0.005226146
161,161,0.005062052
561,561,0.005039125
102,102,0.004894637
455,455,0.004731576
211,211,0.004688095
608,608,0.0046428656
176,176,0.0045874864
599,599,0.0044796667
301,301,0.004443731
282,282,0.0044356985
597,597,0.0043735467
205,205,0.004252649
294,294,0.004228783
579,579,0.004157825
127,127,0.004152675
302,302,0.0041421237
427,427,0.004130604
150,150,0.0041266074
154,154,0.003979021
536,536,0.0039117225
511,511,0.0039063613
323,323,0.003829807
490,490,0.003808462
565,565,0.00378165
389,389,0.0037725829
457,457,0.0037369812
153,153,0.0036726107
417,417,0.0036027606
212,212,0.003560539
373,373,0.0035570413
374,374,0.0035555148
380,380,0.0035275244
570,570,0.0035077964
210,210,0.0035035044
527,527,0.0034547371
381,381,0.0034257106
133,133,0.0034158
594,594,0.0033929069
408,408,0.0033903413
545,545,0.003387026
143,143,0.0033565783
165,165,0.0032755218
377,377,0.0032685571
411,411,0.0031955186
126,126,0.0031904825
555,555,0.0031682174
482,482,0.0031497187
518,518,0.0031234012
166,166,0.0030950056
53,53,0.0030751743
430,430,0.0030749345
174,174,0.0030747664
473,473,0.0030105703
537,537,0.00297864
315,315,0.0029782348
404,404,0.002966631
116,116,0.0029655758
362,362,0.0029539869
554,554,0.0029463926
546,546,0.0029194255
410,410,0.0029030403
183,183,0.002889381
240,240,0.0028274585
203,203,0.0028063816
499,499,0.002800594
239,239,0.0027866666
318,318,0.00274825
494,494,0.0027417892
100,100,0.0027176253
564,564,0.0027034946
580,580,0.002678141
47,47,0.002648804
392,392,0.0026354773
506,506,0.0026335318
363,363,0.0025979404
208,208,0.0025830362
167,167,0.0025583035
195,195,0.00255678
481,481,0.0025407665
177,177,0.0025171812
566,566,0.0024772894
365,365,0.0024751592
206,206,0.0024750966
337,337,0.0024723366
539,539,0.0024653478
576,576,0.0024503171
168,168,0.0024325927
313,313,0.0024262443
288,288,0.0024239062
431,431,0.0023898727
474,474,0.0023760076
575,575,0.0023505494
124,124,0.002344943
201,201,0.00231223
355,355,0.0023110462
320,320,0.0023063882
311,311,0.0023004503
324,324,0.0022994392
108,108,0.0022908798
528,528,0.0022818747
241,241,0.0022636452
572,572,0.002256422
519,519,0.00225228
340,340,0.002246655
