,Feature,importance
56,56,0.022261964
616,616,0.021113222
186,186,0.01879137
346,346,0.014847854
65,65,0.014548965
128,128,0.0142101385
376,376,0.010439895
400,400,0.009525812
563,563,0.009438511
234,234,0.009227484
135,135,0.008909049
154,154,0.0085579585
561,561,0.0066113793
377,377,0.006321081
301,301,0.0059359777
136,136,0.0058448357
455,455,0.005789494
512,512,0.005782849
599,599,0.005608505
133,133,0.0054087816
155,155,0.005353209
536,536,0.005304827
426,426,0.0051901266
579,579,0.0051397085
119,119,0.0050958213
291,291,0.0049894503
81,81,0.004962037
428,428,0.004957913
211,211,0.0048373486
192,192,0.0047875894
410,410,0.0046074023
268,268,0.0045895646
176,176,0.004588845
294,294,0.004532949
292,292,0.004513957
607,607,0.0044400604
537,537,0.004417929
511,511,0.0043339827
457,457,0.004195979
161,161,0.004106232
620,620,0.00406449
184,184,0.0040204474
606,606,0.0040025073
311,311,0.0039595775
506,506,0.00395738
210,210,0.003923267
554,554,0.0039053427
165,165,0.0038591416
475,475,0.0037442392
323,323,0.0036768345
265,265,0.0035843502
417,417,0.0035796394
389,389,0.0035730286
565,565,0.0035690377
203,203,0.003462133
282,282,0.0034047938
174,174,0.003372968
117,117,0.0033720566
570,570,0.003319502
183,183,0.003317781
552,552,0.003304139
453,453,0.0032329885
126,126,0.0032325354
167,167,0.0031888753
490,490,0.0031810354
134,134,0.003171971
474,474,0.0031583395
380,380,0.0031270657
545,545,0.00312676
381,381,0.0030961367
499,499,0.003071076
458,458,0.0030703042
153,153,0.0030665174
373,373,0.003050331
150,150,0.0030373733
305,305,0.0030099356
47,47,0.0030040205
102,102,0.0030009912
351,351,0.0029958754
364,364,0.0029725954
519,519,0.0029637108
408,408,0.00292854
427,427,0.0029254071
288,288,0.0029094324
608,608,0.00290791
404,404,0.0028950393
205,205,0.0028948055
539,539,0.0028938514
127,127,0.0028548627
392,392,0.002829486
100,100,0.002801667
564,564,0.0027959188
96,96,0.002780737
337,337,0.002758649
528,528,0.0027560405
328,328,0.0027544538
315,315,0.0027536354
508,508,0.0027370339
374,374,0.0026914452
156,156,0.0026662522
250,250,0.002657612
527,527,0.0026134693
300,300,0.0026059821
444,444,0.0025774506
598,598,0.0025638985
240,240,0.0025480743
555,555,0.0025251575
166,166,0.0025211782
507,507,0.0024941973
168,168,0.0024500384
193,193,0.0024373238
418,418,0.0024101774
208,208,0.0023904038
546,546,0.00237086
257,257,0.0023431554
116,116,0.0023428272
355,355,0.002342164
105,105,0.002333204
229,229,0.0023087189
503,503,0.0023072395
419,419,0.0023012361
572,572,0.0022831943
53,53,0.0022740723
438,438,0.002255162
472,472,0.0022511883
320,320,0.002241787
354,354,0.0022379737
220,220,0.002228308
500,500,0.002219542
124,124,0.0022159757
577,577,0.0022119058
138,138,0.0021996507
52,52,0.0021925592
610,610,0.0021922146
594,594,0.0021796317
494,494,0.0021649413
264,264,0.0021497507
237,237,0.0021400328
580,580,0.002128426
324,324,0.002110364
296,296,0.0021065923
99,99,0.0020710332
471,471,0.002048282
382,382,0.0020315715
513,513,0.0020210398
590,590,0.002015516
534,534,0.0019562815
548,548,0.001953292
261,261,0.0019489465
204,204,0.0019294119
390,390,0.0019281281
177,177,0.0019245398
399,399,0.0019198882
566,566,0.0019172329
206,206,0.0019135823
357,357,0.0018836615
201,201,0.0018782796
589,589,0.0018773176
115,115,0.0018743189
195,195,0.0018663766
483,483,0.001845318
431,431,0.0018402517
365,365,0.0018375927
333,333,0.001832062
448,448,0.001824236
597,597,0.0018192447
391,391,0.0018159081
518,518,0.0018079121
31,31,0.0018066874
125,125,0.0018052218
576,576,0.0018024701
319,319,0.0017937795
581,581,0.0017921118
267,267,0.0017829099
51,51,0.0017694142
430,430,0.0017665817
341,341,0.0017581615
114,114,0.0017564966
473,473,0.001748154
330,330,0.0017422687
33,33,0.0017277903
367,367,0.0017262953
252,252,0.0017238909
273,273,0.0017187686
480,480,0.0017150504
498,498,0.0017142133
336,336,0.0017100953
123,123,0.001687791
484,484,0.0016783648
384,384,0.0016773187
121,121,0.0016729069
42,42,0.0016681892
593,593,0.0016624538
360,360,0.0016621503
447,447,0.0016596401
332,332,0.0016555758
239,239,0.0016463625
363,363,0.0016443704
409,409,0.0016432934
266,266,0.0016301614
189,189,0.0016276931
446,446,0.0016268903
600,600,0.0016013028
485,485,0.0015933139
584,584,0.0015925998
352,352,0.0015875406
256,256,0.0015868488
469,469,0.0015846485
44,44,0.001573447
94,94,0.0015720694
241,241,0.0015691101
180,180,0.0015612553
523,523,0.0015474864
148,148,0.0015469402
253,253,0.0015454253
509,509,0.0015357182
482,482,0.001534006
516,516,0.001518512
274,274,0.0015179438
529,529,0.001503914
307,307,0.0015032334
439,439,0.0015023745
573,573,0.001500887
314,314,0.0015004443
462,462,0.0014957496
515,515,0.0014924982
185,185,0.001487695
248,248,0.0014875762
449,449,0.0014832773
230,230,0.0014831711
459,459,0.0014657578
525,525,0.0014617601
331,331,0.0014613799
358,358,0.0014582404
108,108,0.0014545644
489,489,0.001450033
312,312,0.0014443117
280,280,0.0014379141
255,255,0.0014293568
432,432,0.0014243403
368,368,0.0014157224
477,477,0.0014145758
362,362,0.00141437
221,221,0.0014108025
313,313,0.0014068054
310,310,0.0013994399
583,583,0.001395238
27,27,0.0013891637
510,510,0.0013840254
557,557,0.0013785568
465,465,0.0013686937
35,35,0.0013642276
247,247,0.001360847
233,233,0.0013573548
437,437,0.0013540548
378,378,0.0013524035
567,567,0.0013511843
571,571,0.0013491176
421,421,0.0013481561
172,172,0.0013446732
232,232,0.0013411684
198,198,0.0013343825
327,327,0.0013341177
550,550,0.0013312871
260,260,0.0013270738
556,556,0.0013255118
420,420,0.0013214435
173,173,0.0013194962
340,340,0.0013101369
415,415,0.0013025384
41,41,0.0013024224
238,238,0.001301147
216,216,0.0012968419
522,522,0.0012955193
169,169,0.0012741687
218,218,0.0012635
