,Feature,importance
76,76,0.1131290391087532
75,75,0.10384587571024895
79,79,0.0851723313331604
61,61,0.08111481075175106
60,60,0.08099043689292103
68,68,0.07983305342495442
73,73,0.05458940751850605
70,70,0.05336219221353531
59,59,0.0527449805442302
57,57,0.043995107649845974
77,77,0.04007842540740967
72,72,0.03366819601505995
18,18,0.016301310807466506
78,78,0.013974945247173309
66,66,0.010863536741336244
0,0,0.0077850617520653035
9,9,0.006631660649388494
64,64,0.0031692180782556534
130,130,0.0029846960547729394
346,346,0.002701530302874744
293,293,0.0025004385599459054
120,120,0.0021663962515731327
55,55,0.0017394302412867546
186,186,0.0016969672869890928
184,184,0.0013762092450633645
234,234,0.0013715956127271056
56,56,0.001200134796090424
158,158,0.0010482667945325374
65,65,0.0010167022526729852
128,128,0.001012996258214116
153,153,0.0010030899982666596
154,154,0.0009737207903526724
111,111,0.000920357980865294
401,401,0.000914589298190549
509,509,0.0008870950332493521
376,376,0.0008862522256094963
126,126,0.0008375447359867394
213,213,0.0007637977818376384
430,430,0.0007473182864487171
318,318,0.0006791211169911548
264,264,0.0006787117687053979
453,453,0.0006677859659248497
374,374,0.0006635406462009996
155,155,0.0006632265809457749
564,564,0.0006534433923661709
563,563,0.0006208058155607432
480,480,0.0006179763237014413
457,457,0.0006108112094807439
512,512,0.0006023859430570155
185,185,0.0005586544619291089
86,86,0.000552330494247144
239,239,0.0005427581403637305
265,265,0.0005265101452096132
400,400,0.0005247756809694693
455,455,0.0005207502457778901
183,183,0.00048554383683949707
534,534,0.0004802515526534989
259,259,0.0004747686645714566
507,507,0.00047230800264514984
74,74,0.00046153860457707194
320,320,0.00045405548153212296
561,561,0.00045253679854795337
301,301,0.000434508323087357
104,104,0.00041514535841997714
132,132,0.0004146297429542756
215,215,0.00040978140459628775
214,214,0.00040933257550932465
291,291,0.0004080028949829284
311,311,0.00040168739215005187
617,617,0.0003962364080507541
300,300,0.00038418101030401886
210,210,0.0003839114622678608
159,159,0.0003803176714882284
536,536,0.00038019475250621325
50,50,0.00037592240259982647
143,143,0.00037316476809792223
203,203,0.000370916782412678
151,151,0.00036769552971236406
364,364,0.00036018688551848755
372,372,0.00035841290809912607
240,240,0.00035506144631654025
508,508,0.00034940693876706064
237,237,0.000348560385464225
248,248,0.00034847235074266794
410,410,0.0003455197758739814
246,246,0.00034384065365884454
96,96,0.0003410297467780765
428,428,0.00033563748875167223
444,444,0.00032777784508652985
429,429,0.00031836682610446586
180,180,0.0003161201544571668
355,355,0.0003117476881016046
423,423,0.00030713499872945247
294,294,0.0003046323050512001
39,39,0.0003005276550538838
117,117,0.0002991924658999778
84,84,0.0002928053843788803
511,511,0.0002884906949475408
182,182,0.0002862570152501576
322,322,0.00028587874039658344
309,309,0.00028520529958768747
365,365,0.0002851903554983437
426,426,0.0002850897060852731
144,144,0.0002795642642013263
537,537,0.000278982579766307
152,152,0.00027732222242775605
363,363,0.00026971960287482946
98,98,0.0002695799337743665
258,258,0.0002693790273042396
390,390,0.00026795387966558335
116,116,0.0002628112371894531
464,464,0.0002599941406515427
93,93,0.0002576663173385896
296,296,0.00025503240176476537
399,399,0.00025463295460212974
125,125,0.00025266688098781744
168,168,0.0002522264840081334
90,90,0.0002510445985535625
250,250,0.00024738841748330744
257,257,0.00024655429151607675
554,554,0.0002443771736579947
119,119,0.00024382720221183263
615,615,0.0002436804423268768
53,53,0.00024294050963362678
35,35,0.00024217028694693
197,197,0.00024165911017917096
216,216,0.00024163516063708813
312,312,0.00024129142839228733
418,418,0.00024041508295340462
435,435,0.00023990115150809287
157,157,0.00023969667929577554
304,304,0.00023952227784320712
454,454,0.00023887799616204575
356,356,0.00023606878094142302
194,194,0.00023552360071334987
597,597,0.00023301621695281938
600,600,0.00023197475311462768
46,46,0.0002319210849236697
177,177,0.00023161001154221595
481,481,0.0002313308468728792
305,305,0.00023121871272451243
34,34,0.0002310042669705581
438,438,0.0002280627959407866
192,192,0.00022717068495694547
41,41,0.00022712080681230873
108,108,0.00022646302240900696
288,288,0.00022615404304815456
484,484,0.00022563323873328044
204,204,0.00022353449094225653
427,427,0.00022273493523243814
107,107,0.00022101822708009422
590,590,0.0002209949801908806
95,95,0.00022031991284165997
526,526,0.0002197349356720224
105,105,0.00021924759730609366
269,269,0.0002184582006520941
206,206,0.00021711546287406236
381,381,0.00021671247959602623
383,383,0.0002157059236196801
483,483,0.00021318406361388044
282,282,0.00021257903863443063
465,465,0.00021188583632465453
193,193,0.00021087262703076704
51,51,0.00021060829167254269
323,323,0.00020993419748265295
456,456,0.0002093113085720688
510,510,0.0002092605660436675
134,134,0.00020805884596484248
162,162,0.00020634596003219486
419,419,0.00020599156778189354
127,127,0.00020531776135612745
518,518,0.00020515084615908564
351,351,0.00020484418200794607
482,482,0.0002035419674939476
516,516,0.00020287262377678418
528,528,0.00020109272882109507
606,606,0.0002004909998504445
337,337,0.0002002298890147358
201,201,0.00019984135251434055
195,195,0.0001992341029108502
171,171,0.00019799765141215175
545,545,0.00019582983950385823
268,268,0.00019486971250444186
255,255,0.00019384586121304893
161,161,0.00019347704560459533
266,266,0.00019336158584337682
468,468,0.00019287367322249339
546,546,0.00019264644579379818
523,523,0.0001923923220601864
589,589,0.0001915634064062033
249,249,0.00018989727104781195
591,591,0.00018928406352642925
247,247,0.00018913386811618692
205,205,0.00018903518139268272
514,514,0.00018883405864471569
45,45,0.00018879831332014875
47,47,0.00018834227230399848
211,211,0.00018812559137586503
81,81,0.0001879520874354057
99,99,0.00018743141190498137
555,555,0.00018585203652037307
447,447,0.0001854143920354545
579,579,0.00018540812307037412
238,238,0.00018540435412432997
403,403,0.00018358807064942085
527,527,0.00018130331591237336
485,485,0.00018128014489775522
392,392,0.00018038764828816057
439,439,0.0001795765885617584
135,135,0.00017742886557243765
44,44,0.00017718771705403923
32,32,0.0001763020540238358
142,142,0.00017577488033566625
175,175,0.0001754617624101229
384,384,0.0001750304829329252
448,448,0.00017461743846070021
499,499,0.000173794396687299
43,43,0.00017351789283566178
440,440,0.0001714318095764611
260,260,0.00017138798211817629
567,567,0.00017042018298525364
40,40,0.0001692567253485322
432,432,0.00016859511088114233
417,417,0.00016816198549349793
328,328,0.0001680191373452544
251,251,0.00016760539147071541
535,535,0.00016626309225102885
225,225,0.000165943281899672
280,280,0.0001657880377024412
471,471,0.00016514872695552185
273,273,0.00016472540592076256
220,220,0.00016416651924373583
581,581,0.00016416259095421992
106,106,0.0001641141160234838
347,347,0.00016317125409841536
360,360,0.0001626106517505832
181,181,0.00016257409151876345
450,450,0.00016232767229666932
256,256,0.00016203634877456352
472,472,0.0001613149775948841
552,552,0.00016105905669974163
506,506,0.00016101481014629826
463,463,0.0001609286802704446
369,369,0.00015987579099601134
30,30,0.00015978203737176955
608,608,0.00015973861736711114
611,611,0.00015946306011755952
576,576,0.00015830458141863346
324,324,0.00015808374882908538
124,124,0.0001577568444190547
48,48,0.00015756744978716596
202,202,0.000157434154607472
420,420,0.0001570323685882613
393,393,0.00015684360841987653
354,354,0.0001556165865622461
421,421,0.0001554096830659546
373,373,0.00015539073065156116
89,89,0.0001548582953546429
302,302,0.0001533815411676187
164,164,0.0001529743392893579
462,462,0.00015246294351527466
562,562,0.00015232599289447535
31,31,0.00015201645583147184
331,331,0.00015170762490015476
496,496,0.00015088495274540037
620,620,0.000150631544420321
513,513,0.0001501278456998989
366,366,0.00014990551353548652
141,141,0.0001497928212302213
543,543,0.00014898590015945956
594,594,0.00014849553845124318
573,573,0.00014835363981546834
525,525,0.00014829747233306988
224,224,0.00014828465355094523
298,298,0.00014811641594860702
173,173,0.0001464682660298422
335,335,0.00014626886040787214
340,340,0.00014600139984395356
167,167,0.0001458842249121517
519,519,0.00014558673501596786
243,243,0.00014534167930833065
517,517,0.00014455582204391247
149,149,0.00014447173598455265
208,208,0.00014353917431435547
402,402,0.00014184794417815283
333,333,0.00014146055182209238
303,303,0.00014104307483648882
338,338,0.00014083640126045794
110,110,0.00014041954273125157
425,425,0.00013819743471685798
359,359,0.00013801622117171064
529,529,0.00013789087679469958
313,313,0.0001371339581965003
406,406,0.0001370461985061411
232,232,0.0001368503253615927
449,449,0.0001361479633487761
380,380,0.00013610535097541288
189,189,0.00013555839250329883
221,221,0.00013380086602410302
572,572,0.00013297628902364522
446,446,0.00013208737218519672
437,437,0.0001320321171078831
228,228,0.00013144970580469817
441,441,0.00013063513906672597
212,212,0.00013059789189355796
176,176,0.00013055228992016056
487,487,0.00013039298646617682
413,413,0.0001303895201999694
570,570,0.00013036297168582677
115,115,0.00012980335595784708
231,231,0.00012969428207725285
469,469,0.00012864110904047265
345,345,0.00012852103754994458
261,261,0.00012791562330676242
531,531,0.0001272503854124807
387,387,0.00012720309605356305
357,357,0.0001263511527213268
148,148,0.00012629529883270151
411,411,0.00012606009913724848
174,174,0.00012549044331535696
281,281,0.00012545253703137859
530,530,0.0001253609050763771
267,267,0.0001252141750228475
272,272,0.00012512334506027402
490,490,0.00012509003208833748
557,557,0.00012493607791839168
252,252,0.00012401047424646095
473,473,0.00012388078976073303
382,382,0.00012346785952104254
140,140,0.0001230783796927426
292,292,0.00012196480893180705
315,315,0.00012181442289147527
367,367,0.00012181232596049085
230,230,0.0001217341428855434
229,229,0.00012053193349856884
233,233,0.0001204458691063337
515,515,0.0001201753162604291
100,100,0.00011992823201580904
310,310,0.00011975193629041315
391,391,0.0001196437151520513
284,284,0.00011937080926145427
52,52,0.00011920518591068685
133,133,0.0001192038289445918
172,172,0.00011900432436959819
386,386,0.00011826386253233068
329,329,0.00011798135674325749
198,198,0.00011764765731641092
584,584,0.00011751181846193503
389,389,0.00011722673225449398
377,377,0.00011699083697749301
223,223,0.00011659562878776341
341,341,0.00011612961970968172
616,616,0.00011602469655827007
603,603,0.00011554467928363011
348,348,0.00011553070435184054
475,475,0.00011531551426742226
368,368,0.00011513184435898438
434,434,0.00011482904919830616
582,582,0.00011471309262560681
285,285,0.00011471165489638225
565,565,0.00011455801177362446
274,274,0.00011447736105765216
349,349,0.00011416629058658145
358,358,0.00011399989889468998
121,121,0.00011362063087290153
165,165,0.00011300943806418218
314,314,0.00011244976121815853
478,478,0.00011243027838645503
271,271,0.0001115543971536681
160,160,0.0001110717323172139
491,491,0.0001108180709707085
583,583,0.00011067411614931188
588,588,0.0001092188056645682
595,595,0.00010888534434343456
431,431,0.00010862991766771301
571,571,0.00010842409246833996
500,500,0.00010831649706233293
395,395,0.00010791676613735035
618,618,0.00010771811648737639
219,219,0.00010771638553705998
396,396,0.000107439978455659
577,577,0.00010645761140040121
139,139,0.00010635663275024854
330,330,0.00010608381635393015
163,163,0.00010521206859266385
222,222,0.00010496903414605185
409,409,0.00010494662274140865
459,459,0.00010475696617504582
542,542,0.00010398831655038521
575,575,0.00010393992124591023
150,150,0.00010386041958554415
378,378,0.00010378676088294015
474,474,0.00010323708556825295
574,574,0.00010261550778523088
593,593,0.00010235980444122106
270,270,0.000102023828367237
549,549,0.00010188179730903357
524,524,0.00010119185390067287
33,33,0.00010104728571604937
336,336,0.0001002364071609918
460,460,9.950722596840933e-05
275,275,9.897225245367736e-05
123,123,9.812441894609946e-05
476,476,9.779310421436094e-05
279,279,9.768153249751776e-05
495,495,9.742938054841943e-05
568,568,9.739578745211474e-05
332,332,9.738590597407892e-05
451,451,9.712609389680437e-05
551,551,9.682496092864313e-05
179,179,9.659456118242815e-05
494,494,9.63970582233742e-05
408,408,9.635427995817736e-05
553,553,9.629601845517755e-05
327,327,9.591417910996825e-05
253,253,9.586237683834042e-05
166,166,9.57391966949217e-05
493,493,9.562615305185318e-05
548,548,9.556054428685456e-05
339,339,9.515002166153863e-05
283,283,9.44065090152435e-05
585,585,9.401497736689634e-05
42,42,9.308591579610947e-05
503,503,9.306387655669824e-05
412,412,9.304731502197683e-05
136,136,9.272358429370797e-05
556,556,9.253696480300277e-05
540,540,9.219523708452471e-05
599,599,9.20595635761856e-05
