,Feature,importance
616,616,0.10764846
132,132,0.035254993
144,144,0.031272657
120,120,0.028872563
74,74,0.02730379
129,129,0.024435412
589,589,0.014660146
135,135,0.01444882
509,509,0.013718266
65,65,0.01268795
54,54,0.012363344
118,118,0.012166998
186,186,0.01020493
109,109,0.008426653
347,347,0.007980582
615,615,0.0075678416
150,150,0.007010523
128,128,0.006037277
481,481,0.005791463
376,376,0.0056769354
66,66,0.0054745264
256,256,0.005073094
512,512,0.0049965964
417,417,0.0049276017
247,247,0.004841704
301,301,0.004774567
116,116,0.0046032313
457,457,0.0045599476
401,401,0.004475539
148,148,0.0043333974
599,599,0.0042088497
264,264,0.0041188407
0,0,0.00384911
56,56,0.0038177078
50,50,0.0037719323
294,294,0.0037214973
238,238,0.0037040818
490,490,0.0035362784
534,534,0.0034897723
240,240,0.0034724523
588,588,0.0033365674
81,81,0.0033349036
310,310,0.0033307397
108,108,0.003281355
234,234,0.00320488
565,565,0.0031952958
579,579,0.0031707776
154,154,0.0031462517
364,364,0.0031187932
320,320,0.0030864796
314,314,0.0030185024
312,312,0.0030179687
161,161,0.0030162565
381,381,0.002971121
157,157,0.0029271063
546,546,0.0029243042
292,292,0.002903353
374,374,0.002850131
506,506,0.0028290197
176,176,0.0027148072
554,554,0.002701576
166,166,0.0026850507
545,545,0.0026667237
101,101,0.0025150161
561,561,0.0025137078
251,251,0.002473862
355,355,0.0024737262
206,206,0.0024212447
255,255,0.0024062258
410,410,0.0024019757
323,323,0.0023871758
134,134,0.0023728285
185,185,0.0023645333
127,127,0.0023495944
291,291,0.0023352588
527,527,0.002283889
562,562,0.0022387041
260,260,0.0022232288
408,408,0.002218103
194,194,0.0022097274
426,426,0.0021945094
555,555,0.0021926947
333,333,0.002166135
309,309,0.0021502466
538,538,0.002118971
338,338,0.0020861255
324,324,0.002046764
404,404,0.002044576
31,31,0.0020299533
606,606,0.0020106728
482,482,0.0020093892
197,197,0.0020093455
403,403,0.002001628
519,519,0.0019979822
552,552,0.0019958057
399,399,0.0019939505
471,471,0.0019675426
53,53,0.0019287085
377,377,0.001926127
536,536,0.0019184265
288,288,0.001911136
94,94,0.0018908039
590,590,0.0018627836
392,392,0.0018421984
477,477,0.0018378904
174,174,0.0018328684
149,149,0.0018316288
363,363,0.001823874
366,366,0.0017984991
187,187,0.0017963862
126,126,0.001793213
474,474,0.0017837603
409,409,0.0017747515
337,337,0.0017610121
257,257,0.0017569156
570,570,0.001729316
566,566,0.0017246976
165,165,0.001716215
86,86,0.001711428
47,47,0.0017103675
305,305,0.0016977385
319,319,0.0016905522
311,311,0.0016886625
525,525,0.0016748625
508,508,0.0016696744
308,308,0.0016684787
492,492,0.0016675849
491,491,0.0016555839
356,356,0.0016555685
419,419,0.0016416869
259,259,0.0016416757
282,282,0.0016203576
41,41,0.0016007939
594,594,0.0015969292
413,413,0.0015897591
528,528,0.0015895993
382,382,0.0015885804
571,571,0.0015805386
167,167,0.0015791901
117,117,0.0015724505
427,427,0.0015665917
233,233,0.0015367147
572,572,0.001533849
535,535,0.001524833
141,141,0.0015208058
422,422,0.0015201151
418,418,0.0015118255
518,518,0.001503983
245,245,0.0014754373
180,180,0.0014687863
229,229,0.0014666292
449,449,0.0014655808
168,168,0.0014582473
444,444,0.0014501847
121,121,0.0014410552
435,435,0.0014357528
34,34,0.0014264295
199,199,0.0014215495
184,184,0.0014155922
213,213,0.0014104744
563,563,0.0014023881
469,469,0.0014001676
143,143,0.0013938964
383,383,0.0013937352
189,189,0.0013932657
608,608,0.0013931605
279,279,0.0013876877
511,511,0.0013717671
499,499,0.0013657572
543,543,0.0013629552
510,510,0.001359417
204,204,0.0013588995
597,597,0.0013362665
